object SCIN CADM2 COX2 RELL1 LOC100287015 TREML3P 1558154_at KLHL8 LOC101927592 MIR646HG||LOC729296 NCKAP5L LOC101927657 1565265_at OR4D1 MAP7 NPR2 MEOX1 TCP11L1 KDM6B 215137_at IGLV@ ZSCAN18 CASQ1 220932_at GJA9||MYCBP||GJA9-MYCBP TAS2R16 NFIA LOC283075 234368_at 234817_at LOC101927330 237147_at PPOX 239402_at 241170_at C3orf62||MIR4271 SYNE1 ZNF788 decision
GSM627128.CEL 3.3754 2.4841 13.5765 4.3531 4.5431 4.3171 5.128 3.6464 3.3078 3.6095 3.7297 3.4647 3.5822 4.4124 6.6854 5.7034 4.5458 5.3425 7.7037 5.5744 2.9911 5.1828 3.4182 3.5432 4.2469 3.3411 5.3213 2.979 2.6166 2.7384 4.135 2.6414 4.0482 3.4908 2.651 7.6377 3.7257 4.4702 control
GSM627110.CEL 2.747 2.5397 13.5437 3.9989 4.756 4.1202 5.1138 2.7612 3.2277 3.1054 4.133 3.0945 3.9536 4.5905 4.1863 6.058 4.409 4.9715 7.3849 5.937 3.3871 5.0607 3.7525 4.1249 4.1656 3.3544 4.7995 3.3025 2.7228 3.4594 4.2255 3.2788 4.2514 3.5927 2.9673 7.4085 4.0398 4.3747 control
GSM627132.CEL 2.8683 2.853 13.1704 4.1582 4.649 4.8674 5.3749 2.9055 3.3624 3.2696 3.7696 3.4622 4.4393 4.9242 4.7389 6.505 3.9377 5.2563 7.9383 5.7529 3.6483 5.0145 3.0983 3.9574 4.1273 3.3097 5.2268 3.6515 2.5357 2.8737 4.3063 2.7705 4.6627 3.8292 2.7749 7.374 3.8871 4.7599 control
GSM627107.CEL 3.1157 2.5772 13.5544 3.869 3.8447 4.613 5.3741 3.156 3.5758 3.2989 3.6243 3.1253 3.4258 4.1892 6.3332 5.9461 4.7624 4.8737 7.4041 5.7052 3.7971 5.2685 3.0757 3.5362 4.3015 3.3414 5.0623 2.8983 2.59 3.0964 4.2439 2.9553 4.2305 3.2363 2.7178 7.4807 4.0581 4.6095 control
GSM627103.CEL 2.6193 2.5729 13.4728 4.1797 3.925 5.3557 5.5119 2.7203 3.3466 2.8977 3.6632 3.0629 3.5233 4.5732 5.7363 5.743 4.2617 4.8293 7.3489 5.9293 2.9816 4.838 3.2479 3.4272 4.2736 3.1592 5.2287 3.0789 2.7437 3.182 4.405 2.8117 4.1545 3.1785 2.7144 7.1611 4.1605 4.6652 control
GSM627114.CEL 2.9908 2.5872 13.4599 4.0804 4.5262 4.8547 5.2549 2.4961 3.262 2.733 3.7052 3.1894 3.6971 4.0186 5.0924 5.9065 4.4697 5.388 6.7425 5.4771 3.545 5.0733 3.2638 3.7617 4.3476 2.902 5.1419 3.3737 2.5694 2.9623 4.0283 2.9091 4.1501 3.6954 2.5169 7.0699 3.5233 3.895 control
GSM627134.CEL 3.0433 2.5348 13.6035 4.3796 4.0346 4.2431 5.0997 2.9417 3.6415 3.0193 3.4961 3.108 3.7736 4.4027 5.7176 5.833 4.2872 4.7115 6.5998 5.5502 3.0365 5.5781 3.0848 3.7745 4.3087 3.1775 4.8761 2.8984 2.5295 3.3775 4.2758 3.1964 4.1008 3.1184 2.8401 7.1999 3.8288 4.8887 control
GSM627137.CEL 3.08 2.5681 13.483 4.3564 4.5598 4.298 5.142 3.0244 3.2267 3.1506 3.9165 3.087 3.4915 4.4255 6.3129 5.6514 4.7199 5.2412 7.1864 5.7539 3.3813 5.3625 3.2132 3.5793 4.2798 3.6821 5.2309 3.3782 2.5764 3.1757 4.2521 2.8931 4.2768 3.4167 2.6695 7.1695 4.026 4.739 control
GSM627148.CEL 3.1367 2.5712 13.6993 3.9415 4.4528 5.023 5.4361 2.4118 3.2051 2.881 3.7189 3.058 3.4144 4.3419 5.1677 5.5071 4.4704 4.494 7.4671 5.9704 3.0848 5.3051 3.3067 3.9033 4.5848 3.0231 5.3009 3.1448 2.6114 3.1809 4.281 3.0766 4.1116 3.2191 2.6266 7.0956 4.255 4.3392 control
GSM627101.CEL 2.7546 2.6398 13.5609 4.2585 4.2662 3.8987 5.6402 3.6289 3.3576 3.258 3.6033 2.937 3.6265 4.2552 5.8575 5.7945 4.1335 4.9402 7.4343 5.8408 2.8718 5.1919 3.6728 3.2847 4.131 3.1272 4.9599 2.9255 2.4659 3.1123 4.1051 3.2 4.0575 3.3523 2.671 7.3566 4.0831 4.0967 control
GSM627130.CEL 3.0676 2.5714 13.4216 3.7459 4.2852 4.5114 5.5466 3.2318 3.4767 3.3247 3.7563 3.2172 3.391 4.2139 5.6672 5.9861 3.9856 4.8423 7.2056 6.0149 2.8936 4.9987 3.353 3.7016 4.2882 3.1645 5.1271 3.0037 2.6181 3.1866 4.268 3.073 4.061 3.1468 2.554 7.2262 3.8932 4.1414 control
GSM627071.CEL 3.1552 2.7109 13.5453 4.2328 4.4664 4.2344 4.9993 2.6117 3.2542 3.0002 3.9048 3.1052 3.3064 4.2703 5.1308 6.1195 4.1754 4.7664 8.0155 5.4167 3.0019 5.3519 3.5442 3.4632 4.2564 3.1658 4.7202 2.9286 2.6015 3.0361 4.6557 2.9711 4.1319 3.2769 2.7999 7.2467 3.6065 4.2794 control
GSM627118.CEL 2.877 2.4691 13.6187 4.2356 3.9625 4.2484 5.3565 3.1199 3.0937 3.3767 3.4948 3.1293 3.5212 4.3308 6.5033 5.8342 3.7969 4.7829 7.6445 5.7541 2.9587 4.7778 3.4737 3.3871 4.1977 3.232 5.2407 3.0153 2.9161 3.0447 4.1339 2.9828 4.1205 3.3917 2.6126 7.4809 4.1641 4.019 control
GSM627094.CEL 2.7458 2.6249 13.5236 4.6772 4.2232 4.6476 4.9733 2.5763 3.6393 3.07 3.7441 3.0789 3.7937 4.889 5.9633 5.8087 4.3788 4.9164 7.6178 6.1041 3.2985 5.3229 3.2331 3.6804 4.0241 3.3524 5.2876 3.1529 2.8731 3.2362 4.396 3.0407 4.3259 3.207 2.8559 6.961 4.2189 4.5884 control
GSM627122.CEL 2.967 2.8503 13.3609 3.8811 4.2321 5.0084 5.0867 3.3067 3.424 2.8525 3.7048 2.955 3.5995 4.2668 5.6388 5.8781 4.3682 4.7975 7.4899 5.7749 3.489 4.5786 3.2782 3.7177 4.3875 3.6133 5.2791 2.9567 2.8584 3.1954 4.1756 2.908 4.2316 2.8346 2.6809 7.3225 4.2198 4.5604 control
GSM627115.CEL 2.7772 2.5839 13.5981 3.9221 3.9928 5.228 5.384 2.6334 3.6076 3.0119 3.7343 3.0858 3.5206 4.4978 5.7757 5.1765 4.3308 5.1129 7.6232 5.9118 2.7136 4.6658 3.3481 3.9888 4.1974 3.2865 5.262 2.877 2.5795 3.1809 4.1309 3.2078 4.4015 3.3133 2.928 7.0817 4.208 4.672 control
GSM627125.CEL 2.6859 2.4275 13.3021 4.4867 4.0219 6.1231 5.3397 3.1613 3.2873 2.9546 3.5195 2.9354 3.5704 4.4274 6.612 5.8388 4.3485 4.8149 7.4975 5.589 2.9039 5.8713 3.4273 3.491 4.2925 3.0302 5.3563 3.2283 2.6535 2.9948 4.3494 2.7352 4.3061 3.0019 2.7544 8.1534 3.8486 4.646 control
GSM627174.CEL 2.8206 2.6209 13.5939 4.4041 4.508 4.3898 5.2541 3.3914 3.131 3.0115 4.1193 2.8857 3.4969 3.8549 5.3013 6.2362 3.7965 4.8439 7.7962 5.5711 3.045 4.7292 3.3116 3.2239 4.7607 3.1386 5.1032 3.4767 3.2284 3.236 4.3596 2.9306 4.0206 3.4047 2.7066 6.9824 3.7234 4.6427 control
GSM627102.CEL 2.7049 2.3588 13.4734 4.3092 4.9163 4.6534 5.0708 2.9823 3.5849 3.1706 3.8196 3.256 3.7924 5.0021 6.6154 5.4792 4.1246 4.7926 6.8903 6.3513 3.9277 5.5521 3.0872 3.9207 4.328 3.0997 5.4191 2.6219 2.6392 3.4922 4.1306 3.0273 4.5458 3.4889 2.7424 7.0881 3.6296 4.5719 control
GSM627073.CEL 3.1021 2.6714 13.5275 4.0325 4.5958 4.4382 5.4301 2.6542 3.3505 3.1241 3.6916 3.2135 3.9566 4.717 6.0549 5.8217 4.3806 4.8366 7.4744 5.879 2.6689 5.6166 3.2834 4.1457 4.0231 3.1017 5.0255 3.1539 2.4703 2.9294 4.0414 2.9854 4.0648 3.5281 2.7201 7.2638 4.1253 4.3184 control
GSM627108.CEL 2.8025 2.687 13.6409 4.0671 4.2806 4.8971 5.1722 2.7388 4.0155 3.0784 3.8513 3.0565 3.558 5.097 5.7778 5.8746 4.7352 4.6199 7.1331 6.0178 3.6819 5.281 3.7333 3.895 4.1677 3.313 4.9969 2.7126 2.8433 3.389 4.1527 2.7593 4.5325 3.4347 2.621 6.9135 4.0332 4.4347 control
GSM627126.CEL 2.6203 2.9471 13.1738 4.2982 3.6933 5.6736 4.6431 3.2635 3.5001 3.2938 4.3737 3.1714 3.219 4.6053 4.5718 5.9734 4.3014 4.5957 7.9279 5.7819 2.9457 4.9417 3.5936 3.3803 4.2616 3.9789 5.1976 3.7201 2.7045 2.7772 3.6488 2.7876 4.2204 3.219 2.7031 7.5852 4.1534 4.594 control
GSM627078.CEL 2.596 2.5908 13.6553 4.3189 3.8961 5.5149 5.6105 3.0873 3.3134 3.1264 3.6619 3.1272 3.8002 4.2688 4.9045 5.9146 4.1839 4.8875 7.6301 5.8206 2.6437 5.2181 3.3572 3.5542 4.0121 3.0981 5.0628 2.533 2.4967 3.3946 4.2067 3.2745 4.4665 3.3496 2.6701 7.0442 3.7894 4.0161 control
GSM627090.CEL 2.7633 2.3503 13.1987 4.0702 4.5139 4.225 5.375 2.9932 3.0183 3.128 3.6486 3.3694 3.6503 4.2028 4.7966 5.9917 4.3621 5.3319 7.4649 5.747 3.1714 5.3367 3.0811 3.3681 4.26 3.4385 5.1445 3.2603 2.6761 3.4044 4.1286 2.6794 4.5545 4.0034 3.2904 7.3429 4.3491 4.8918 control
GSM627099.CEL 2.7704 2.6985 13.5381 4.243 4.6153 4.9446 5.4583 3.2874 3.4332 3.1141 3.5025 3.0874 3.401 4.3417 6.2338 5.8759 4.3341 5.2245 7.6444 5.6917 2.893 5.0783 3.2301 3.675 3.9913 3.0548 5.2376 3.1197 2.644 3.0715 4.1468 3.0315 4.6398 3.279 2.8497 7.6112 3.9529 4.4914 control
GSM627105.CEL 3.1391 2.5671 13.3726 4.4966 4.3876 4.6598 5.2631 3.5345 3.6812 3.4038 3.6544 3.1965 3.566 3.8471 6.6065 5.8346 4.3349 4.8601 7.8409 5.6642 2.9825 5.7055 3.2514 3.5505 4.2297 3.0573 5.186 3.0781 2.6341 2.9818 4.2463 3.1621 4.0423 3.066 2.4494 8.1666 3.695 4.3496 control
GSM627117.CEL 3.1463 2.5676 13.4677 4.1192 4.4475 4.6467 4.9045 2.7888 3.5909 3.5058 3.7102 3.3066 3.5783 4.3931 6.0494 5.809 4.5961 5.3499 6.9097 5.8396 3.2719 5.1823 3.726 3.9222 4.2977 3.3925 5.0296 2.8253 2.5238 3.0695 4.1527 2.8727 4.2062 3.4236 2.9246 7.5648 3.9576 4.6798 control
GSM627121.CEL 3.0212 2.6637 13.545 3.6306 4.3633 4.0583 5.2755 2.7754 3.5935 3.345 3.9409 3.048 3.393 4.3679 5.7492 5.9148 4.2722 5.1588 7.294 5.8185 2.9924 5.0839 3.3868 4.0532 4.2794 3.264 5.7583 3.0175 2.7203 3.1264 4.4817 2.9704 4.2025 3.355 2.7751 6.9103 3.7849 4.6027 control
GSM627127.CEL 2.8928 2.5771 13.4337 4.0295 4.3506 4.3807 5.3266 3.5881 3.4047 3.1195 3.7368 3.1641 3.7475 4.5145 6.0279 5.6658 4.3779 5.2298 8.1088 5.9281 3.0602 4.8744 3.1747 3.5496 4.2815 3.0204 5.2474 3.5575 2.6585 3.0717 4.1858 3.0028 4.0922 3.2002 2.6514 7.7952 4.3389 4.5365 control
GSM627087.CEL 2.8103 2.7436 13.5854 4.1892 3.8614 4.9455 4.9901 2.6007 3.4278 2.8898 3.7301 2.9792 3.4398 4.5378 5.8342 5.6972 4.4296 5.1119 7.6703 5.7488 3.027 5.1336 3.2801 3.8765 4.2206 3.2331 5.4027 3.208 2.8887 3.072 4.3436 2.8867 4.0244 3.4854 2.8163 7.131 4.2885 4.3429 control
GSM627089.CEL 2.7987 2.4727 13.3725 4.3462 4.7162 4.8343 5.0521 2.6247 3.1768 2.8904 3.6612 3.0549 3.8599 4.1137 5.8496 5.8878 4.2304 4.3163 7.4437 5.5078 3.477 5.1843 3.2819 3.4956 4.145 3.3996 5.1817 3.2713 2.6495 2.9039 4.1448 2.6581 4.0731 3.519 2.8809 7.1331 4.1031 4.5432 control
GSM627092.CEL 2.9954 2.7388 13.4757 4.2563 4.3954 4.2052 5.4757 2.6975 3.6954 3.5146 4.0153 3.3938 3.5016 5.0219 5.8325 5.5968 4.1022 5.1195 7.5275 5.9236 3.401 5.6307 3.6594 3.9425 4.2985 3.2316 4.7742 3.1263 2.6382 3.0917 3.9261 3.2655 4.0939 3.55 2.681 7.2854 4.068 4.7805 control
GSM627076.CEL 2.8038 2.6662 13.4679 4.5998 4.6641 5.4934 5.1327 3.0555 3.3911 3.3071 3.8507 3.1917 3.601 4.364 5.2274 5.7098 3.9272 5.3129 7.4796 5.9907 3.0875 5.7977 3.263 3.2747 4.4114 3.1795 5.2219 3.105 2.6941 3.4038 4.2646 2.6662 4.2208 3.2583 2.7223 7.7123 4.0605 4.6863 control
GSM627136.CEL 2.9296 2.5065 13.3707 4.678 4.2148 4.8133 5.1254 2.7067 3.1955 3.1184 3.9779 3.0729 3.4047 4.1057 5.9466 6.1939 3.6706 5.5402 6.8823 5.8302 2.843 4.7271 3.4256 3.6859 4.3241 3.8556 5.1884 3.303 2.8383 3.2324 4.1228 2.7749 4.4181 3.1608 2.8451 7.1862 3.9789 5.4866 control
GSM627081.CEL 2.8847 2.5525 13.534 3.9511 4.3571 4.0408 5.2182 2.9381 3.5563 3.3321 3.6583 3.0485 3.5053 4.3954 6.0278 5.7118 4.3407 5.3198 7.6366 5.821 3.2442 5.38 3.6434 3.6858 4.2627 3.2306 5.6013 2.9531 2.5713 3.2223 4.4734 3.1333 4.2956 3.0627 2.6078 7.6413 3.9537 4.569 control
GSM627091.CEL 2.8738 2.5896 13.5504 4.2792 4.3864 5.0115 5.0446 2.837 3.3831 3.1942 3.5549 3.2971 3.7237 4.464 5.7533 5.8541 4.0276 4.5916 7.6045 5.9486 2.8639 5.0066 3.0097 4.2627 4.3643 3.0778 5.0774 2.8468 2.7541 3.0872 4.4708 2.9784 4.6582 3.3938 2.8224 7.3289 4.2193 4.3166 control
GSM627097.CEL 3.1911 2.699 13.3688 4.507 4.419 5.459 5.0755 3.1482 3.6179 3.1184 3.7751 3.1816 3.4948 4.4265 6.2845 6.0114 4.3565 4.985 7.5052 5.4241 2.7521 5.0398 3.7583 3.7609 4.2749 3.2051 5.0276 3.3486 2.8669 3.4731 4.417 2.9042 4.1253 3.1115 2.6298 7.5284 3.8923 5.2359 control
GSM627072.CEL 3.18 2.4999 13.4019 4.1895 4.404 5.5004 5.1381 2.8111 3.7401 3.0951 4.0633 3.0256 3.4649 4.2038 5.7354 5.9783 4.5365 5.4694 7.1935 5.5604 3.0292 5.001 3.3679 3.7418 4.4173 3.5 5.4482 3.0114 2.6242 3.0935 4.1807 2.756 4.1957 3.4546 2.7018 7.4567 4.1469 4.9692 control
GSM627080.CEL 3.1496 2.7445 13.1229 4.2649 4.0836 5.9273 5.6033 2.6656 3.6146 3.1057 3.9654 3.5035 3.9728 4.586 4.8372 6.0392 3.7573 5.2642 7.6841 5.6566 3.1505 5.094 4.0865 4.2641 4.2654 3.325 5.4762 3.1438 2.5727 3.0639 4.3464 2.7907 4.5812 3.5103 2.5647 7.0903 4.0913 4.4344 control
GSM627088.CEL 3.176 2.7603 13.4382 4.3532 4.1999 4.467 4.8947 2.6429 3.0885 3.0555 3.6151 3.0909 3.465 4.3727 6.0605 5.9392 4.0982 4.9792 7.7325 5.5726 3.163 4.847 3.5173 3.8955 4.2708 3.0885 5.5628 2.9445 2.3959 3.1534 4.3955 2.9873 3.9432 3.5327 2.9742 7.3178 4.0092 4.7979 control
GSM627109.CEL 3.317 2.3156 13.4074 4.3335 3.8102 4.4339 5.5769 2.6316 3.282 3.3288 3.6653 3.1561 3.8508 4.0832 5.4576 5.9542 3.3586 4.8362 8.227 6.007 2.7825 4.7755 3.5558 4.0531 4.6619 3.2553 4.5597 3.1032 2.6518 3.4586 4.4668 3.0359 4.6937 3.455 2.7577 7.4426 3.8187 4.2508 control
GSM627111.CEL 3.3298 2.5722 13.2777 4.1558 4.1816 4.3645 5.5729 2.9872 3.456 3.131 4.0934 3.2859 4.0647 4.515 5.4706 5.821 4.4751 4.5246 7.03 5.6918 3.2188 4.6419 3.2696 3.8273 4.7244 2.8489 4.8495 2.9704 2.5623 3.0363 4.743 2.9175 4.6235 3.3173 2.9636 7.2907 4.3043 4.447 control
GSM627113.CEL 3.023 2.6424 13.5378 4.1361 4.3945 4.8782 5.7678 2.8325 3.429 3.0955 3.7052 3.2629 3.7026 4.6416 4.7709 6.4407 3.755 4.9911 8.0108 6.0254 3.185 5.1386 3.3084 3.991 4.5692 3.0349 4.5673 3.0127 2.6072 3.2517 4.4589 3.0127 5.1068 3.8485 3.0671 7.522 3.6146 4.0735 control
GSM627133.CEL 2.7473 2.6081 13.5503 4.4013 3.979 5.6277 4.9717 2.6756 3.6769 2.923 3.5936 3.0175 3.4785 4.864 6.2103 5.6045 4.4169 4.9221 7.5215 5.6318 3.4648 5.3481 3.8678 3.9985 4.3919 3.2958 5.1072 3.0304 2.7701 3.3155 4.4169 3.1963 4.4317 3.1799 2.7229 7.3308 4.0284 4.2043 control
